model,feature,tp_mean,tp_median,fn_mean,fn_median,cohen_d_tp_vs_fn,tn_mean,tn_median,fp_mean,fp_median,cohen_d_tn_vs_fp,correct_mean,correct_median,incorrect_mean,incorrect_median,cohen_d_correct_vs_incorrect
Logistic Regression,log_rank_std,3.8861104494602547,3.629336855753881,3.6898036771643894,3.3658054761947707,0.07846262742122805,2.143234843490228,0.7164565883825983,4.630330692538567,4.839995630802697,-0.9610421203352422,3.0406598572998442,2.241546761120481,4.183817867057896,4.156620989032701,-0.43137892143671835
Logistic Regression,exact_match_agreement,0.2637065637065637,0.0,0.051773049645390076,0.0,0.6682569844346329,0.27459016393442626,0.0,0.08269230769230769,0.0,0.5821569032119404,0.268986083499006,0.0,0.06801346801346801,0.0,0.6218039229764737
Logistic Regression,mean_pairwise_similarity,0.7801433309164747,0.8061119914054871,0.7815156399358248,0.8079001307487488,-0.008774434478931335,0.7970598690578194,0.8201537430286407,0.7806753432139372,0.8104347288608551,0.10298227464997711,0.7883493653230117,0.8152551651000977,0.781074271960692,0.808294415473938,0.04613231159996269
Logistic Regression,min_pairwise_similarity,0.6383429131610858,0.7065216302871704,0.6440780911039798,0.6854175925254822,-0.022735403140690367,0.6635130685983134,0.7227937579154968,0.6616781966354793,0.7113272249698639,0.007169907127022925,0.6505526903513116,0.7119877338409424,0.6533225909791109,0.7078232765197754,-0.01090399315958315
Logistic Regression,max_pairwise_similarity,0.9393457915331866,0.9797353744506836,0.9204333141340432,0.9328819513320923,0.23903025163525143,0.9476629603104513,0.9843785762786865,0.904014568680372,0.9176291525363922,0.5332196366641082,0.9433803624708658,0.983301043510437,0.9118093266230239,0.9262310266494751,0.39158538522445857
Logistic Regression,pairwise_similarity_std,0.11182746984258754,0.06758157908916473,0.09271245944505253,0.0640568733215332,0.2041671497243545,0.10702967393158584,0.06011701188981533,0.08208288731148992,0.05974675342440605,0.25578043412668444,0.10950010959947737,0.06257878243923187,0.0871292498395449,0.06161124259233475,0.2341220214004748
Logistic Regression,mean_pairwise_entailment,0.41694872756177054,0.3139445243459152,0.19600135282298364,0.11703739846091676,0.7311299004735579,0.4148755278033878,0.3081230035359183,0.2205893266246796,0.12307461271450115,0.6034144320699889,0.4159430402038274,0.311672090557858,0.20891624815316737,0.11980897377729645,0.6636641760907794
Logistic Regression,mean_pairwise_contradiction,0.20865191692369436,0.1036760242246327,0.2775351512884748,0.21682633026447756,-0.2838283770713928,0.20713249342901888,0.11686912017983436,0.2693124054563078,0.22348161344284032,-0.26787811902882214,0.20791486059625736,0.11206870361587455,0.27321613327561944,0.21944165532673007,-0.27532160453641596
Logistic Regression,nli_disagreement,0.39585159468096187,0.4200478209169113,0.5407668992327456,0.5381273570368603,-0.6181391677712965,0.39612848281281554,0.4420419357863689,0.5243615394158141,0.5499711836063297,-0.5294327401830954,0.395985910196215,0.427951189246822,0.532149942561226,0.5487410704538653,-0.5718571653184938
XGBoost,min_log_prob,-9.539131528875801,-9.324326515197754,-9.293139238554732,-9.063803672790527,-0.05957818744089556,-6.3837913236318435,-5.4566969871521,-9.916207005900722,-10.271714210510254,0.6868419373809598,-7.935312198033568,-8.156140327453613,-9.593763375328672,-9.979233741760254,0.3427038533843024
